topic,title,source,article_url,rank_within_feed,relative_popularity,timestamp,feed_count,composite_score
TECHNOLOGY,"GMKtec EVO-T2 launches with Intel Panther Lake, Arc B390 and OCuLink, starts at $1,450 before rising to $2,100 - VideoCardz.com",VideoCardz.com,https://news.google.com/rss/articles/CBMizAFBVV95cUxOZTBoTFJVTDVuck52NFBERjhodUQyYzhmZ0NJb1JJanduNzl4bElGak5GYVNVQTk2OW1JNHEwUUU4VDB3bFdENFNvejFnRlE3WFNkb3FOZlpSdDFxZ0FtM0dDVEo0X3RFSXEwMVU3WEZ0MDhIMUZaMFdKZGpObUtuNVotSWd6MHZOTURfSk0yaERUOE5DVU5GUFJKOVMyY3BzMzdpd1JqNFNkcnNDN3pfYl9YMFlhdzVzUGhIbFlvRFg4TXptRVhVdUlyTXg?oc=5,4,0.997,2026-03-16 09:06:36.296942,2,1.1964
SCIENCE,"Starcloud files plans for 88,000-satellite constellation - SpaceNews",SpaceNews,https://news.google.com/rss/articles/CBMihAFBVV95cUxOUnFfeHNDZDgtcHFtN0NBSy02OWtVLXdXbmlZbVFJRzRXQll0VUxjM3o4Z3d2WU9LX2pzUFoxNnEyMnBFOEZ0SjdJVmVGYzZGaDlNekpXTEJPV3J4SGFTUFlYZk1ZdXlXWDdrY1lvNnN3QTU1OG5NaWl4aWlXYUt0ZHBRdGc?oc=5,4,0.997,2026-03-16 09:06:39.010530,2,1.1964
WORLD,Fifth member of Iranian women's soccer team gives up asylum in Australia - PBS,PBS,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOMnhVYlBzZjg4OHpJX1p4Tk9VOVd5aFJTWWx5NGc3LTRCdFhXYjZLOTU5NzZyNDBCZmJwYTFxWldid25LLWlGdjdFV01ROXhtRG5LSjlHeVBSN2JBaEVtU3NpSFh2UWxxano3Yk42c3U4Q2VaOWE0LTh2TVhtOWVyN1hLc1dXN1FqdDZYY1Jnc24tWjl3ODY2VUswVDhnMmREbnVlX1gzV25TQdIBrwFBVV95cUxQUjlsTlBjdGlvdmh0aHpXaUdqNmJWeHNiTDYyYVRrWmZiYkdLWnVUTk9qaXN6OUNLNUJGcmpaMTJUZHV1YXBBdG9wYVhvY24zVDdpU0JDNHpVN1oxLV9aNGh3OUFoWERIUWdRNGl3S0FBdXlubExfd1BmMXdiR1VPa3FZMDh6aUV1OVdON1JNY3ZiMG1EMC01ek5Zel90Y0lSczdPTDRKanlDb245UUJN?oc=5,4,0.997,2026-03-16 09:06:35.590596,2,1.1964
ENTERTAINMENT,Critic’s Notebook: Conan O’Brien’s Deft Hosting and Several Sincere Moments Help Save Technically Sloppy Oscars Telecast - The Hollywood Reporter,The Hollywood Reporter,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNekRlMmxGeGE4eFBjSHlfUDBkNE9aRWhuLW1IWS1qVlhRZ250RXRiSTBHdUZaU2M1b3BneWlELTdWWWpXZXA5LVB1SnJVY044UDdabENIZVEtdV96TS1MYmQ0WWZUTWtOTXJmNTRtTThYb01NaUpPTnFXUlJTbkJUU296ZEZEMmx4SzR5ZkJkVGJMbldJWlhtQzVoM0xLUkUxb3FvNDZtZ1diVWJKRENHRUlVeUJpclky?oc=5,5,0.996,2026-03-16 09:06:37.799385,2,1.1952
WORLD,Israel says it has plans for at least three weeks of war as airstrikes pound Iran - Reuters,Reuters,https://news.google.com/rss/articles/CBMizAFBVV95cUxQSG4tY3VGcDQtTDJuVDBWSzFrNzFBZUEwQ0tfOXFOczdRVHA0M0VETVRaN2pEa0lMRXhNTm5Cd3RkdUlrUGRnSEYwQ2RVZWRmTlBoY1NwMDV6OEg4T0tjN09rcUFkVlZQWVdwOThkQkY2bDZQYmR3Tkh5bFotaExlRXZWUC16TjJ5ZkkzT3Zjd1B3MEpEbjZIQjFBOEl1U2wyODNkVHoycjVPaGFBZlY1YzdONUFmQ0pjNTBnMTVCOHNwUEwwek1qakhpZFA?oc=5,5,0.996,2026-03-16 09:06:35.590600,2,1.1952
WORLD,What Do Africans Think of Trump’s Travel Ban List? - The New York Times,The New York Times,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQU20xMEpheXBRN0xQMm8taFNvdmVLT09zalVxb0h6ZFBZSk14MTFfNXIwNGM0UlVQaXVmYUhldjFzcE5WX0xTaTh4SDlCTTg1Z3J5TVU3SUlZYXN6emphX3EyVEZtcjRKRUNpRnAta3JOenpoU1RuQlNDbThsaUdUel9TaUlZWFg2?oc=5,6,0.995,2026-03-16 09:06:35.590605,2,1.194
BUSINESS,"3,800 workers are on strike at one of the largest meatpacking plants in the US - abcnews.com",abcnews.com,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQSlJhbjZGU0k2TXdUR0N3WWdyMm55SnJfR2xva0VWTEg2aUxXdW9Ic1hsd2I2cUtyUnBMTHQ5X3RHbGRtREFjd2tZU0NfRG5aQlBWa0kwTHFPOEFHQ2Fqck9QV2NPaWMweEk0U190b3BoQXhyZjRkU3Y4S2pzdTVrVTU1SENvb21tRGQyT2swODRVbFlhQm9NY3BxTlotMG1RS0hwZ2hkTzBaTGfSAbABQVVfeXFMT0NSdngzV2ZDMkxpSlNWN011T1RwMHEwSTN3UTJZMExJQ3p4ai1VUUhieVlWNkhHOEdTeVZnZTFUd1Q0VEtJSjlYZ2dqRTF6UTR0UGdpLVR2MTItMTlmZmhFbFVuZWhCLUpfSVFnQzdYSzBtVVR5akQ5TmdaUWQ4VExqUTBxVS05aG5hYVltbTJSMkNHSzBJZmV3dzY3QTg1elRwVWxmaFFnQjg5Qld1ek4?oc=5,1,1.0,2026-03-16 09:06:35.280590,1,1.0
ARTS,Guerrilla artist Banksy finally unmasked — along with the remarkable way he hid in plain sight - New York Post,New York Post,https://news.google.com/rss/articles/CBMioAFBVV95cUxNbnQwYzQweUpqRnFzUVdBNXA0YWxlS3duR2EyUXcydG5FRmJhZ0lOS0JTcV9FSm9GV3lvV3JyYWc5QXJGS3plUEJkdjN0U19oUjJGMnJKay00LThHM3lyOXljOUR1cnlQTXUtanpvZjRaeURxSUdJa2RlMFVnMmZPZy1FMFJkWGJYZlJmR183d2NKUGg0WXY3Z0xVUkQxdk1K?oc=5,1,1.0,2026-03-16 09:06:37.439435,1,1.0
ARTS,Bottega Bruzziches Headquarters / deltastudio - ArchDaily,ArchDaily,https://news.google.com/rss/articles/CBMickFVX3lxTE8xSjU4NHhYNGhnWTV3MlpsMVRxcHJTM00xeGxnVVZ0d3NHWEJkNFFXNGhGa2NoTm5faEk0VlBoWEJGYWdWS0x5VW84UjEwNDFUQk5zVDMyNnJ3MjNLSkhVNXFMalF6Vlc2RWwzbHNCTUVHdw?oc=5,2,0.999,2026-03-16 09:06:37.439443,1,0.999
BUSINESS,Oil prices keep rising as Trump seeks coalition to reopen Strait of Hormuz - Al Jazeera,Al Jazeera,https://news.google.com/rss/articles/CBMiugFBVV95cUxPa09EbHVYbjNxZ3J3aUlYQlhHN1RUblZwX3JtWXNqLWd6cG5HdWtrZG1KY21fLVBhWkM1SGRMQXA5cEVFOGNla3kySUh5dnZXdWZEYThZUXJ5WS1NclJHc3VPOEVIZjN6cXdOWTk1YnZhVWJkZDl5cm5DVVY4NVFOMnRPSXYybDRBV3I4amwyYlJhTmFNWjJtaFdJUFkzcjFDSWpyVkpmN3pBb091U2FJaFJwQjYtWmREX2fSAb8BQVVfeXFMTmwyZTMtX3djTlBEcWNQUjdQVXNIN3psMDRDcDQ1TkNiMkRONjNvb3NQVVdBVGVwaHBxWFNBUWQ5Z2NDWFRMS0NkbGs3aWpQdFFyZl9Tb3JHZE5TOUtJOW5yUE83OE1OZjhxZi1jc3A4US1jaGd5YWJoYmg1SFdJcE5PWGRRSG1OclZPWUQ4MkotdjRXZ25CM1k0RTdzOGVKODRHRWxKSUt3dkFoanA1REdUeHRpVEhjcXNBOTVYZG8?oc=5,2,0.999,2026-03-16 09:06:35.280599,1,0.999
ENTERTAINMENT,Vanity Fair Oscar Party: Arrival Looks From the Night’s Biggest After-Party - The New York Times,The New York Times,https://news.google.com/rss/articles/CBMigwFBVV95cUxNcU50M3JTQW1vTDNsY0RBSWgtMTV1TVRBTHhTZ2pSZzBPeUM1aG1ZRHNiLTlYNldJLUI5aUVHNFltZGZHY251dWxaaEliWkJTSW5RZ3ZUTlpBTnlkVm1NYU5zNjNETW9pSy1MV3dWdVg2Rl94Q0ljZmpHUTF5RmJ1cTR2OA?oc=5,2,0.999,2026-03-16 09:06:37.799372,1,0.999
ENTERTAINMENT,"Michael B. Jordan Wins the Oscar and Shouts Out Denzel Washington, Halle Berry and More: ‘I Stand Here Because of the People Who Came Before Me’ - Variety",Variety,https://news.google.com/rss/articles/CBMikgFBVV95cUxOazdGWE1IWEZDWnFJeFhMWWFpWFR0Rm1Zc1o1WmdoMy1QVlNqeFZJZUJPb2gyRWVLRVhIRHkweVF5cnk3MWZyUUxia1BMWkgweG56NzZaTmstTFJXczZMY2V6M1Ixall2QnZaVU9SVkdRSVBRUGNwY2oydmhFYTVuSG5XY0F5UDNHZGQ3dTlDdTRjUQ?oc=5,3,0.998,2026-03-16 09:06:37.799377,1,0.998
WORLD,"Trump said briefed on US intel showing Ali Khamenei thought his son ‘not very bright,’ unfit to lead - The Times of Israel",The Times of Israel,https://news.google.com/rss/articles/CBMisgFBVV95cUxNOFViYllEbEp1SUc3bGRYcWZuSFpfQW9pZF9vWDlYOURuVzVUdVRQdlR4VTlBUmFhX2NnanRDcEdZNXgtdmNmdmRnbW5sbUJOaHVBSlVVUVI3ZFViTERIUWlZVi04YldZVzU0bXAzU3FJVERQUVB5Wll6WThpUzE2cC13ZDI1ZjNhTkkwckdMaDZhT1NLYmxhQ0JfMzkzNmI4TFk5NlU5emJVdjNMdWl4NVZn0gG3AUFVX3lxTFAyY2NjSExrYXlVeFI1anZreWZGYjdPOXRnQU1xV1lJNzlMU2laQ0ZJcXFfUjhrN084RXdvYVB3b19SemJlQzg3UEdQQTJmNURnVnhYQnRxRGhRWk5IbUM4a2lGallRb1lLdmNFaE5uLXk2OFRCeTFYQ0ZoWFhZWUdtTE4zX1BRSzB3aU9sSWpsQ2pxa0c2a1dYSWVoSExIRW1ma3dpdExJaWdmWEM1NDN0VUdhUDNXbw?oc=5,3,0.998,2026-03-16 09:06:35.590592,1,0.998
ARTS,A Designey Tri-Rotor Drone - Core77,Core77,https://news.google.com/rss/articles/CBMib0FVX3lxTFBVYUNEYnRNY051Q1BWZ25VejR6S3ZmY2JPbXlTUkZnbExBVTFoWHROMVBxWkZObU1HY1FCMHlCNHFxTkswckREX0g3VXdnRlMxMFBDSW1FYmJ5RU5TUzkwVWJZWnRpVmhIM3lIQ1A2RQ?oc=5,3,0.998,2026-03-16 09:06:37.439447,1,0.998
BUSINESS,"Biggest stock movers Monday: META, MU, gold stocks, and more - Seeking Alpha",Seeking Alpha,https://news.google.com/rss/articles/CBMimgFBVV95cUxPTFRuZmF2QVNhY0RNcHJ6VVhVQlZ1cDZvV2JRWmxGVk1wMkhyd21UUDB1OEs2RFVSLWZncWsxOFE1RTJsQklTVHpLcHpqZEtheEhiVjVfZlNKQ1E2REQtbTYxSjNXdFRIMkJpSWxLbGdYTUlMVzVCWHNyQjdtcUJwd0x6cU8yMDVRRjB3djFlcm1uaHpULWRadzJR?oc=5,3,0.998,2026-03-16 09:06:35.280603,1,0.998
TOP,"'Lost one leg': Iran's new leader Mojtaba Khamenei secretly flown to Russia for surgery, says report - WION",WION,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQNlNzTnNzeklSTE5pUUNVV3pPNFlWMEpkZWhJOXBsX0xRYzIxNTFOZERVWDhsUmgxeUtNSUwwcnBlaWZ2RTNPUk9OVEFac1VjdUZ6N0l3MDR0SnpSZEllTE9GY2lPYTJ4MEwzLUYzQ0FMU3VwdHlkeVFhZXhyaW1NajR3UllhejYyak9fMXRXeEpldC0yTGZ5MEh0cGtQYVlRbjNBVmswNzFreG5MQnVBeVE2TjE3YWEyLVc1QkcxajJRSG4yYVJIYl9VZnAzalFlVllMZHpHc21ydw?oc=5,3,0.998,2026-03-16 09:06:34.898278,1,0.998
TOP,Trump’s warning over Kharg Island raises the stakes for Iran’s oil exports - CNBC,CNBC,https://news.google.com/rss/articles/CBMihwFBVV95cUxOQ2VVZGRwS0VnOEktVE92RDJmMFRKc01FaHdzQ0liRzJqMWZoQWdBbTBBNVJ0MlplRmxiVkNtMUktT29QZjNFLTJ4dUZ0ZmJNclNWbWZWQUtzZXZrZkkxTGlJWGE3Q3cydEhid0R1SkFpa2FrMjVxR0ZmdHhmYmpWR1JCUVpYMnPSAYwBQVVfeXFMTUlrWGVrbURaT1pCTjBabXI5VkQxR1VicGRiTmZYZFBNYUdyVW5fMkpQRGJGcFZzcFR2eFlZNkJBZnhPcHFRVXNpYmNPMVB0RlAxcmpLQ0NWSXY0aEtjU2c0TURjVjRtRm1CQl84QS1EdEZKbnluTFVYbnF1LUhIc3hqM0VENjZPckFoMDE?oc=5,4,0.997,2026-03-16 09:06:34.898282,1,0.997
ARTS,"David Hockney, review – Serpentine show offers a message of hope in a desperate world - The Independent",The Independent,https://news.google.com/rss/articles/CBMitAFBVV95cUxPb3hpRUlnTWVVakdKWmVzeEZYTkRYQmxoMWM1OU5iVk1TS2VkakprTnhiV3BrYXcyZHVkUWExRlA3NnlzeTBjYWszanJ3NVN5ZlNmd1UtS21rZmhVUlpVREp1bzhncUEwSDdZeVFyaWljU0ZGcm54QXNVM1JQUncySUc4UDZQc294UW5LbVdFVVd3UjR2b2tudlVuRmZCZ3REZkRLZG4wc3lzaGhhZ25waGZUb04?oc=5,4,0.997,2026-03-16 09:06:37.439451,1,0.997
ENTERTAINMENT,Javier Bardem Says “No To War And Free Palestine” As He Introduces International Oscar Category - Deadline,Deadline,https://news.google.com/rss/articles/CBMikAFBVV95cUxPTFJtY0htNkFoNjZMXzEwM0VRLUJaRVZxalJwWFViTllxdUcxVzI1S1ZyU0N1NUFzUXZ1ZFp6NUZuZklOQmtEQXRDS3RhTUY3THl0WG1mdHB1UVpqNWRVQW9FLU0wS1M1Q09DTU51NzVZeVVUOFpudFh1c1Y5ZGRsdDE1V2RGeW1ya0Q5NE1Ka1M?oc=5,4,0.997,2026-03-16 09:06:37.799381,1,0.997
BUSINESS,JPMorgan says higher oil prices could spark a 'domino effect' that tanks the S&P 500 by 15% - Business Insider,Business Insider,https://news.google.com/rss/articles/CBMipwFBVV95cUxPd055a0hWcTBIWF9NR1NoWlZqOS1FWGJtMFBVeF9sNjdKSTJXWXdpQk1HTUtlNml3dUYtblUwMW9YcjNCS2o4cVlkR2NUSGJINFAzMF9GaGVUdUZxbWktVEdRelJ2Vi1LWTYwUEN0bTZqZmxGaEZuY0JaSXRHVDJTVG9EVjl1em5wcXlUZm1TRDFqQndJTktoTVRVY0M3eWNYQjY3Y2NOcw?oc=5,4,0.997,2026-03-16 09:06:35.280607,1,0.997
SCIENCE,Scientists Have Released NASA Rover Photos Showing Possible Insect and Reptile Life Forms on Mars - The Daily Galaxy,The Daily Galaxy,https://news.google.com/rss/articles/CBMif0FVX3lxTE5FYzhuZElLbldOV3JIODBTTUZyQWFXU1ItNzNiak14YXRpbHFFRjFiRUJuR1laYlRZMHBNQWxGZ1dmcnlSMWZTU1lvbDY5OElyM19lSGZzNWJISWxoV193dzFQZkotTk5ZV1pGMndoNmFXLU03a1JEc0NDV1hQQUk?oc=5,5,0.996,2026-03-16 09:06:39.010533,1,0.996
TECHNOLOGY,"MacBook launch week deals: Up to $320 off Air, $200 off M5 Pro models, Neo from $569, more - 9to5Toys",9to5Toys,https://news.google.com/rss/articles/CBMicEFVX3lxTE9hMWhmN2RPMnhhVG5MOWNzZVFQcFhpZk1qdERrdHpPbDJPY1VHWTRwSVduRnVWbm9GNmxpX3RPZTI3b19MN1QwSlFJcVhWdnlDRU1NcmpLN2VRVWxuMGhYRXA3WnNHaEJQVUhaaEV1X1g?oc=5,5,0.996,2026-03-16 09:06:36.296946,1,0.996
TOP,Behind the Curtain: Trump's escalation trap - Axios,Axios,https://news.google.com/rss/articles/CBMiakFVX3lxTE02WlFiU0MyaTB5RHlyWnZ3UE1hZmdva09MaXB3aThqbl90SUNvNGpqdWU4dGtCSWZsZHBmSGdlaXViZFQ0elNRUENmaXhzSkwxaE8yUUxDcmtHYkVNSGpGVWxqWF9lTFo3RHc?oc=5,5,0.996,2026-03-16 09:06:34.898286,1,0.996
BUSINESS,"Nvidia’s big GTC event is on deck, and the company faces a very high bar this year - MarketWatch",MarketWatch,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOWk9VVExaYldZMjc1TjVQTm5yVXpENFR6Uno5b1ZTLXRWVnIxT2xUOFplcW5pTHBQVHd1VE5VQ2VHZVN0eDJJVE5FbExfLWNZNU9zeVIwSUtwT2JwU3BySGpxbm9kdDlDUDBBQUNwU1pyMVpvSVU0M0lWV210RGRhQ3FDTXVrN3VhZXhUTVlxaUtHbVJZbXZhNDB2TWlfb2xVYTBES3NoZ1o1dGFOa0Mzay1HMlFwX3d0Tm1iUkxPV0U?oc=5,5,0.996,2026-03-16 09:06:35.280611,1,0.996
ARTS,Gooder Store / studio pheasant - ArchDaily,ArchDaily,https://news.google.com/rss/articles/CBMib0FVX3lxTE9Wd0NTQnlhNlZXRXE2WldvR1BxZjRiSGExU0tZVFNCX1NxRC1JQ2ZXaWh4UHA3ejhfT1E0Z3JDT1lhYlFLTDI5dWZSWUR4RkprVjYtcXU4dWpCNG1NU2ZUc1NQUkJTb0pyeFFBQV9FZw?oc=5,5,0.996,2026-03-16 09:06:37.439455,1,0.996
ARTS,"‘It’s paradise’ — we built our dream house on a loch for £330,000 - The Times",The Times,https://news.google.com/rss/articles/CBMilwFBVV95cUxQTDllZzl3YlJ2WENMSzBRWlc2MUVEYVcyekxRWXY0cmRsODFueFYzZW8zODBRby14Tk9iOXlSOE5GbDRGSzhBbmdpaFR1VGFyaWh4bDVNa1RzZ05DcG5iU0U3ZVJxVDhvVG94NUwxOWE3cjY1eFV1Y1ZCMGQ4ZHRubjBrM3pIaDk3VG05RTROc05DS3VrOGh3?oc=5,6,0.995,2026-03-16 09:06:37.439459,1,0.995
BUSINESS,China’s Economy Surprises With Rebound Even as War Risks Spread - Bloomberg.com,Bloomberg.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxOMWlVTXlWN0daRjFtaG5GQjNCOXlDcENnRDJ1TUpxdy1lWjNtQmZKV3JsemhkeXhBaFYxenhfWks3bFZEN1VyakM3Mzc1RGJfMV9iN2tuZlhrMk14VWVjLUpFcTdFUnZiNkZTc0pOUnVPRzNmWXJWdUY1QUxLcDNpZWhxS2NUUG5yUng0ektjTFdQZUZITjYtanpBN3FZb0E4aGJsSzVHQlVNSlFxWW4tYmwzYw?oc=5,6,0.995,2026-03-16 09:06:35.280615,1,0.995
ENTERTAINMENT,'KPop Demon Hunters' Oscar winners speak out after being cut off at ceremony - Entertainment Weekly,Entertainment Weekly,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNUFQyT2VtTHpzeGRoMjBPeGdXaU1TOEI5UHdtOG9wY0trSFpTQ1JGTm9WZjlPYW40SlVXTURWMkN4R1RRS0c3eGN0bGJZZUdMSThYV3RwX2ZQeXFERFpEMEJwU2ZfeEM3RHpxa1RrNjhfUjBnZzZyTGZZQURLQjkxZzlVZlU5ejhQTlFz?oc=5,6,0.995,2026-03-16 09:06:37.799390,1,0.995
TECHNOLOGY,Foldable iPhone prices are almost impossible to believe - PhoneArena,PhoneArena,https://news.google.com/rss/articles/CBMilwFBVV95cUxNemdQMFdWVmF1Ym9QdXRXMmxUcmRjbThlVE5LZkx0eGlCS0RScXQ0MGFnMEpaOF9wdEVmMEFhdWtuVGZ0VEhvMWFYT0llR3ktdV9rTENmeUFLbm4zRDEyU3hWSlF1aks4WWI2ckdjWlZvdVBaRlpSbHdfQUl1bEY0c1VVLVVJWFhiODhvU09RUGZOdlRPbmdJ?oc=5,6,0.995,2026-03-16 09:06:36.296950,1,0.995
